wavelength,flux,fluxerr
3311.013,4.2224705738685944e-15,-3.586162232666394e-19
3313.301,4.243915099542721e-15,-3.586162232666394e-19
3315.588,3.859036577097464e-15,-3.586162232666394e-19
3317.876,4.1825156552561605e-15,-3.586162232666394e-19
3320.163,4.043271133818083e-15,-3.586162232666394e-19
3322.451,4.091014182531763e-15,-3.586162232666394e-19
3324.738,4.266373893323056e-15,-3.586162232666394e-19
3327.026,4.2982871148076935e-15,-3.586162232666394e-19
3329.313,4.341900643374666e-15,-3.586162232666394e-19
3331.601,5.1435709097498174e-15,-3.586162232666394e-19
3333.889,4.350014788224336e-15,-3.586162232666394e-19
3336.176,4.637270005447008e-15,-3.586162232666394e-19
3338.464,4.321361714223941e-15,-3.586162232666394e-19
3340.751,4.813064402569533e-15,-3.586162232666394e-19
3343.039,5.022148527892265e-15,-3.586162232666394e-19
3345.326,5.155561007719642e-15,-3.586162232666394e-19
3347.614,4.2652147297731036e-15,-3.586162232666394e-19
3349.902,5.0150124272878676e-15,-3.586162232666394e-19
3352.189,5.5669191725091325e-15,-3.586162232666394e-19
3354.477,5.390653865194439e-15,-3.586162232666394e-19
3356.764,4.5206291732330096e-15,-3.586162232666394e-19
3359.052,4.449847748964019e-15,-3.586162232666394e-19
3361.339,4.999218823919762e-15,-3.586162232666394e-19
3363.627,5.269231483336886e-15,-3.586162232666394e-19
3365.915,4.795024919823393e-15,-3.586162232666394e-19
3368.202,4.359034529597406e-15,-3.586162232666394e-19
3370.49,4.102968056640651e-15,-3.586162232666394e-19
3372.777,4.474697317566131e-15,-3.586162232666394e-19
3375.065,4.042691552043107e-15,-3.586162232666394e-19
3377.352,4.53638655274018e-15,-3.586162232666394e-19
3379.64,4.621911088410134e-15,-3.586162232666394e-19
3381.928,4.9218084330994776e-15,-3.586162232666394e-19
3384.215,4.947563598224991e-15,-3.586162232666394e-19
3386.503,4.286731703169102e-15,-3.586162232666394e-19
3388.79,4.689794603804243e-15,-3.586162232666394e-19
3391.078,4.736704503716394e-15,-3.586162232666394e-19
3393.365,4.923329835258791e-15,-3.586162232666394e-19
3395.653,5.059060642186073e-15,-3.586162232666394e-19
3397.94,4.8633431215487344e-15,-3.586162232666394e-19
3400.228,5.0159904715331405e-15,-3.586162232666394e-19
3402.516,4.7864398647815555e-15,-3.586162232666394e-19
3404.803,5.119880504697658e-15,-3.586162232666394e-19
3407.091,5.050113348534875e-15,-3.586162232666394e-19
3409.378,5.338853744055924e-15,-3.586162232666394e-19
3411.666,5.210729947925207e-15,-3.586162232666394e-19
3413.953,4.650165699940232e-15,-3.586162232666394e-19
3416.241,4.316797507746002e-15,-3.586162232666394e-19
3418.529,4.9946908413027586e-15,-3.586162232666394e-19
3420.816,4.7799195698130706e-15,-3.586162232666394e-19
3423.104,5.108252645337194e-15,-3.586162232666394e-19
3425.391,4.947527374364055e-15,-3.586162232666394e-19
3427.679,4.6036180386374416e-15,-3.586162232666394e-19
3429.966,4.9215186422119894e-15,-3.586162232666394e-19
3432.254,5.042180322989886e-15,-3.586162232666394e-19
3434.542,5.1853370214090536e-15,-3.586162232666394e-19
3436.829,4.832154377282818e-15,-3.586162232666394e-19
3439.117,5.22518326843868e-15,-3.586162232666394e-19
3441.404,5.568187007641893e-15,-3.586162232666394e-19
3443.692,5.584451521202168e-15,-3.586162232666394e-19
3445.979,4.9908511120435395e-15,-3.586162232666394e-19
3448.267,4.614340301474504e-15,-3.586162232666394e-19
3450.555,5.00005197272129e-15,-3.586162232666394e-19
3452.842,5.05025824397862e-15,-3.586162232666394e-19
3455.13,5.2138089761047685e-15,-3.586162232666394e-19
3457.417,5.3242917519596426e-15,-3.586162232666394e-19
3459.705,5.5669553963700685e-15,-3.586162232666394e-19
3461.992,4.929234324591363e-15,-3.586162232666394e-19
3464.28,5.203919862069234e-15,-3.586162232666394e-19
3466.567,5.487588917059239e-15,-3.586162232666394e-19
3468.855,5.419560506221386e-15,-3.586162232666394e-19
3471.143,5.38362643617285e-15,-3.586162232666394e-19
3473.43,5.225690402491784e-15,-3.586162232666394e-19
3475.718,5.6283910645175655e-15,-3.586162232666394e-19
3478.005,5.390979879942863e-15,-3.586162232666394e-19
3480.293,5.0124043093004744e-15,-3.586162232666394e-19
3482.58,5.213012051164176e-15,-3.586162232666394e-19
3484.868,4.985634876068752e-15,-3.586162232666394e-19
3487.156,5.715545673929639e-15,-3.586162232666394e-19
3489.443,5.5907906968659725e-15,-3.586162232666394e-19
